Country,Country Code,Diabetes Total,Diabetes Male,Diabetes Female,Overweight Total,Overweight Male,Overweight Female,Obesity Total,Obesity Male,Obesity Female, Diabetes Proportional Mortality,Diabetes Total per,Diabetes Total2,Obesity Total per,Overweight Total per,
Fiji,FJI,16.60%,14.90%,18.30%,70.40%,66.80%,74.00%,35.90%,30.20%,41.90%,Other NCDs,16.00,0.166,0.36,0.70,
Finland,FIN,7.70%,8.70%,6.80%,59.40%,65.60%,53.40%,22.80%,23.40%,22.20%,25%,7.00,0.077,0.23,0.59,
France,FRA,8.00%,9.50%,6.60%,64.10%,69.90%,58.60%,25.70%,25.30%,26.10%,,8.00,0.08,0.26,0.64,
Gabon,GAB,8.10%,7.90%,8.30%,41.30%,37.40%,45.20%,15.80%,11.60%,20.10%,,8.00,0.081,0.16,0.41,
Gambia,GMB,5.80%,6.50%,5.20%,28.50%,22.70%,34.10%,9.10%,5.00%,13.10%,Other NCDs,5.00,0.058,0.09,0.29,
Georgia,GEO,15.00%,15.00%,15.00%,57.70%,55.80%,59.40%,22.10%,17.90%,25.90%,1%,15.00,0.15,0.22,0.58,
Germany,DEU,7.40%,8.40%,6.40%,59.70%,67.00%,52.70%,22.70%,24.10%,21.40%,17%,7.00,0.074,0.23,0.60,
Ghana,GHA,4.80%,4.60%,5.00%,30.80%,21.50%,39.90%,10.90%,4.90%,16.80%,2%,4.00,0.048,0.11,0.31,
Greece,GRC,9.10%,9.50%,8.80%,64.90%,69.60%,60.20%,25.10%,23.60%,26.70%,,9.00,0.091,0.25,0.65,
Grenada,GRD,9.80%,7.40%,12.10%,55.00%,48.20%,61.90%,24.60%,16.90%,32.30%,,9.00,0.098,0.25,0.55,
Guatemala,GTM,7.50%,6.80%,8.20%,47.70%,43.10%,52.10%,16.40%,11.30%,21.20%,Other NCDs,7.00,0.075,0.16,0.48,
Guinea,GIN,4.70%,4.90%,4.50%,23.00%,16.70%,29.30%,5.90%,2.80%,8.90%,,4.00,0.047,0.06,0.23,
Guinea-Bissau,GNB,5.20%,5.30%,5.10%,23.50%,17.70%,29.30%,6.30%,3.20%,9.40%,2%,5.00,0.052,0.06,0.24,
Guyana,GUY,9.10%,7.20%,10.90%,51.00%,42.20%,60.10%,21.90%,13.90%,30.20%,,9.00,0.091,0.22,0.51,
Haiti,HTI,6.90%,6.60%,7.10%,35.50%,29.40%,41.40%,10.70%,6.40%,14.80%,5%,6.00,0.069,0.11,0.36,
Honduras,HND,7.20%,6.50%,7.90%,47.60%,43.30%,52.00%,16.30%,11.10%,21.60%,,7.00,0.072,0.16,0.48,
Hungary,HUN,10.00%,10.60%,9.40%,63.30%,69.40%,57.80%,26.00%,25.50%,26.50%,,10.00,0.1,0.26,0.63,
Iceland,ISL,7.10%,8.90%,5.30%,59.90%,66.90%,52.90%,23.90%,25.00%,22.80%,2%,7.00,0.071,0.24,0.60,
India,IND,7.80%,7.90%,7.50%,21.40%,19.00%,23.90%,4.70%,3.10%,6.50%,Other NCDs,7.00,0.078,0.05,0.21,
Indonesia,IDN,7.00%,6.60%,7.30%,24.40%,20.70%,28.10%,5.70%,3.60%,7.80%,6%,7.00,0.07,0.06,0.24,
Iran (Islamic Republic of),IRN,10.30%,9.60%,11.10%,24.90%,19.30%,30.60%,60.50%,58.00%,63.10%,2%,10.00,0.103,0.61,0.25,
Iraq,IRQ,13.20%,12.70%,13.80%,53.20%,48.70%,57.80%,21.20%,15.30%,27.30%,Other NCDs,13.00,0.132,0.21,0.53,
Ireland,IRL,7.30%,8.40%,6.20%,27.00%,27.30%,26.80%,62.90%,68.80%,57.10%,2%,7.00,0.073,0.63,0.27,
Israel,ISR,7.20%,7.60%,6.80%,25.80%,23.70%,27.80%,64.50%,68.60%,60.40%,6%,7.00,0.072,0.65,0.26,
Italy,ITA,8.50%,9.60%,7.40%,64.00%,68.70%,59.50%,23.70%,22.50%,24.80%,17%,8.00,0.085,0.24,0.64,
Jamaica,JAM,11.90%,9.10%,14.50%,58.40%,51.20%,65.50%,26.80%,18.00%,35.30%,,11.00,0.119,0.27,0.58,
Japan,JPN,10.10%,11.80%,8.50%,26.50%,30.40%,22.80%,3.50%,3.40%,3.60%,1%,10.00,0.101,0.04,0.27,
Jordan,JOR,13.10%,12.90%,13.50%,62.30%,58.90%,66.00%,28.10%,21.00%,35.60%,,13.00,0.131,0.28,0.62,
Kazakhstan,KAZ,11.50%,11.30%,11.70%,23.50%,21.30%,25.40%,58.70%,59.80%,57.70%,1%,11.00,0.115,0.59,0.24,
Kenya,KEN,4.00%,3.80%,4.20%,23.10%,15.80%,30.40%,5.90%,2.50%,9.20%,Other NCDs,4.00,0.04,0.06,0.23,
Kiribati,KIR,22.00%,21.70%,22.20%,72.30%,66.50%,78.20%,40.10%,32.50%,48.00%,,22.00,0.22,0.40,0.72,
Kuwait,KWT,14.70%,14.80%,14.60%,73.70%,74.30%,72.80%,38.30%,34.80%,43.50%,,14.00,0.147,0.38,0.74,
Kyrgyzstan,KGZ,8.60%,7.80%,9.30%,44.50%,42.50%,46.60%,13.30%,10.60%,16.00%,16%,8.00,0.086,0.13,0.45,
Lao People's Democratic Republic,LAO,5.60%,5.50%,5.70%,16.80%,13.60%,20.00%,3.00%,1.80%,4.10%,2%,5.00,0.056,0.03,0.17,
Latvia,LVA,9.40%,9.20%,9.60%,25.60%,23.20%,27.70%,61.50%,64.30%,59.10%,3%,9.00,0.094,0.62,0.26,
Lebanon,LBN,12.60%,14.10%,11.10%,67.30%,67.00%,67.60%,30.80%,26.10%,35.70%,Other NCDs,12.00,0.126,0.31,0.67,
Lesotho,LSO,6.00%,4.50%,7.50%,31.00%,16.30%,45.30%,11.90%,3.30%,20.40%,3%,6.00,0.06,0.12,0.31,
Liberia,LBR,5.60%,5.60%,5.70%,5.80%,2.50%,9.20%,22.60%,15.90%,29.50%,2%,5.00,0.056,0.23,0.06,
Libya,LBY,13.70%,13.10%,14.20%,67.00%,65.00%,69.00%,31.90%,25.80%,38.00%,Other NCDs,13.00,0.137,0.32,0.67,
Lithuania,LTU,9.70%,9.80%,9.50%,62.80%,64.20%,61.70%,27.50%,24.00%,30.50%,1%,9.00,0.097,0.28,0.63,
Luxembourg,LUX,6.80%,8.30%,5.30%,61.00%,70.70%,51.50%,24.80%,28.30%,21.30%,,6.00,0.068,0.25,0.61,
Madagascar,MDG,3.90%,4.40%,3.40%,20.30%,13.70%,26.70%,4.60%,1.90%,7.20%,1%,3.00,0.039,0.05,0.20,
Malawi,MWI,4.30%,4.40%,4.30%,19.00%,11.20%,26.80%,4.30%,1.40%,7.30%,,4.00,0.043,0.04,0.19,
Malaysia,MYS,9.80%,10.20%,9.50%,37.30%,36.20%,38.30%,12.90%,10.30%,15.30%,3.00%,9.00,0.098,0.13,0.37,
Maldives,MDV,8.50%,8.70%,8.30%,7.00%,4.60%,9.60%,27.40%,24.10%,30.60%,,8.00,0.085,0.27,0.07,
Mali,MLI,5.00%,5.50%,4.50%,22.00%,16.90%,27.20%,5.70%,3.20%,8.20%,,5.00,0.05,0.06,0.22,
Malta,MLT,10.10%,11.40%,8.80%,67.60%,71.60%,63.70%,28.70%,26.20%,31.10%,15%,10.00,0.101,0.29,0.68,
Marshall Islands,MHL,20.70%,20.40%,21.10%,42.30%,36.40%,48.30%,74.90%,71.70%,78.20%,,20.00,0.207,0.75,0.42,
Mauritania,MRT,6.70%,6.20%,7.30%,27.80%,23.30%,32.30%,8.60%,5.30%,12.10%,Other NCDs,6.00,0.067,0.09,0.28,
Mauritius,MUS,14.20%,13.80%,14.60%,46.80%,39.50%,53.90%,18.80%,11.80%,25.70%,26.00%,14.00,0.142,0.19,0.47,
Mexico,MEX,10.40%,9.70%,11.00%,63.40%,61.60%,65.00%,27.60%,22.10%,32.70%,21%,10.00,0.104,0.28,0.63,
Micronesia (Federated States of),FSM,18.00%,16.10%,19.90%,33.20%,27.20%,39.50%,63.00%,57.10%,69.10%,Other NCDs,18.00,0.18,0.63,0.33,
Monaco,MCO,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,,,. . .,. . .,. . .,
Mongolia,MNG,9.60%,9.70%,9.50%,48.20%,48.70%,47.80%,15.70%,13.70%,17.70%,Other NCDs,9.00,0.096,0.16,0.48,
Montenegro,MNE,8.70%,8.90%,8.50%,58.40%,63.70%,53.30%,21.40%,20.30%,22.50%,,8.00,0.087,0.21,0.58,
Morocco,MAR,12.40%,12.60%,12.30%,55.10%,50.50%,59.60%,21.70%,15.60%,27.60%,12%,12.00,0.124,0.22,0.55,
Mozambique,MOZ,4.60%,4.50%,4.70%,19.40%,11.90%,26.60%,4.50%,1.60%,7.40%,,4.00,0.046,0.05,0.19,
Myanmar,MMR,6.60%,5.90%,7.20%,2.90%,1.40%,4.20%,17.40%,13.30%,21.30%,3%,6.00,0.066,0.17,0.03,
Namibia,NAM,5.40%,5.00%,5.80%,16.80%,8.00%,25.20%,39.10%,27.10%,50.40%,4%,5.00,0.054,0.39,0.17,
Nauru,NRU,28.90%,29.80%,28.00%,77.00%,74.60%,79.50%,45.10%,39.30%,51.10%,0%,28.00,0.289,0.45,0.77,
Nepal,NPL,9.10%,10.50%,7.90%,2.90%,1.70%,4.10%,16.70%,13.60%,19.60%,3%,9.00,0.091,0.17,0.03,
Netherlands,NLD,6.10%,7.00%,5.30%,59.80%,67.20%,52.60%,21.90%,23.20%,20.60%,,6.00,0.061,0.22,0.60,
New Zealand,ZNL,8.50%,9.50%,7.60%,66.40%,70.40%,62.50%,30.60%,28.70%,32.50%,18%,8.00,0.085,0.31,0.66,
Nicaragua,NIC,8.10%,7.20%,9.00%,15.50%,9.70%,21.10%,46.10%,40.70%,51.30%,,8.00,0.081,0.46,0.16,
Niger,NER,4.10%,4.50%,3.70%,17.40%,11.80%,23.10%,3.70%,1.70%,5.70%,1%,4.00,0.041,0.04,0.17,
Nigeria,NGA,4.30%,4.40%,4.30%,9.70%,5.30%,14.30%,30.10%,23.60%,36.90%,,4.00,0.043,0.30,0.10,
Niue,NIU,26.40%,26.00%,26.90%,73.80%,70.20%,77.50%,42.50%,37.00%,48.20%,0%,26.00,0.264,0.43,0.74,
Norway,NOR,6.60%,7.80%,5.50%,61.60%,67.90%,55.20%,24.80%,26.10%,23.50%,19%,6.00,0.066,0.25,0.62,
Oman,OMAN,7.50%,7.20%,8.30%,26.50%,22.70%,33.50%,60.60%,58.80%,64.00%,10%,7.00,0.075,0.61,0.27,
Pakistan,PAK,9.80%,10.00%,9.70%,20.80%,19.10%,22.70%,4.80%,6.40%,3.30%,3%,9.00,0.098,0.05,0.21,
Palau,PLW,22.80%,24.50%,21.20%,78.40%,76.60%,80.30%,47.10%,42.60%,51.70%,,22.00,0.228,0.47,0.78,
Panama,PAN,9.00%,8.40%,9.60%,26.50%,20.30%,32.80%,61.70%,58.40%,65.20%,5%,9.00,0.09,0.62,0.27,
Papua New Guinea,PNG,11.80%,11.90%,11.60%,25.50%,20.60%,30.70%,56.70%,51.30%,62.40%,6%,11.00,0.118,0.57,0.26,
Paraguay,PRY,6.90%,6.80%,7.10%,46.10%,45.60%,46.50%,15.10%,12.20%,18.00%,7%,6.00,0.069,0.15,0.46,
Peru,PER,6.90%,6.40%,7.50%,20.40%,15.20%,25.50%,56.80%,52.80%,60.70%,,6.00,0.069,0.57,0.20,
Philippines,PHL,5.80%,5.50%,6.10%,4.70%,3.40%,6.10%,22.30%,19.90%,24.70%,6%,5.00,0.058,0.22,0.05,
Poland,POL,9.50%,9.80%,9.30%,27.00%,24.80%,29.10%,64.20%,68.20%,60.50%,2%,9.00,0.095,0.64,0.27,
Portugal,PRT,9.20%,10.70%,7.80%,59.80%,65.00%,55.00%,22.10%,21.40%,22.80%,,9.00,0.092,0.22,0.60,
Qatar,QAT,12.80%,12.60%,13.20%,76.60%,76.60%,76.60%,41.00%,38.90%,47.80%,Other NCDs,12.00,0.128,0.41,0.77,
Republic of Korea,KOR,9.50%,10.60%,8.40%,35.50%,38.40%,32.60%,6.30%,5.10%,7.50%,15%,9.00,0.095,0.06,0.36,
Republic of Moldova,,9.30%,8.40%,10.10%,15.70%,11.80%,19.20%,48.30%,47.30%,49.20%,1%,9.00,0.093,0.48,0.16,
